No.     Time           Source   Destination          Length Leftover Capture Data Comment
    151 0.480050       host     1.13.2       out     32     cc000a00d6            
    153 0.482240       1.13.2   host         in      30     55a5fa                
    647 2.999091       host     1.13.2       out     32     cc000a00d6            
    663 3.052048       1.13.2   host         in      30     55a5fa                
   1165 5.511291       host     1.13.2       out     32     cc000a00d6            
   1167 5.513487       1.13.2   host         in      30     55a5fa                
   1309 6.015930       host     1.13.2       out     39     3301070007e8071b01300380 
   1313 6.018661       1.13.2   host         in      30     55a3f8                
   1387 7.543259       host     1.13.2       out     132    33010900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d 
   1389 7.554620       1.13.2   host         in      30     55ab00                
   1525 10.573434      host     1.13.2       out     42     33010b00473139394730333236336e 
   1527 10.583013      1.13.2   host         in      30     55a7fc                
   1711 12.617474      host     1.13.2       out     57     3301050000000a015e00640113003100311e0320006400281313310102a3 
   1719 12.729100      1.13.2   host         in      30     a0a040                
   1901 13.640833      host     1.13.2       out     32     cc000a00d6            
   1905 13.642956      1.13.2   host         in      30     55a5fa                
   2015 14.151037      host     1.13.2       out     32     cc000600d2            
   2021 14.164995      1.13.2   host         in      59     5501013e1800000a015e006407e8071b01300300000000000000001364000007 
   2026 14.168085      1.13.2   host         in      59     e8071b01300b0000000000000000000000000000000000000000000000000000 
   2033 14.171240      1.13.2   host         in      59     0000000000000000000000000000000000000000000000000000000000000000 
   2035 14.174341      1.13.2   host         in      59     0000000000000000000000000000000000000000000000000000000000000000 
   2037 14.177407      1.13.2   host         in      59     0000000000000000000047313939473033323633003100311e032000640028e1 
   2197 14.656538      host     1.13.2       out     32     cc000c00d8            
   2201 14.661429      1.13.2   host         in      59     5501013e181313310000000022b822b822b822b822b822b822b822b801020000 
   2203 14.664562      1.13.2   host         in      59     0000000000000000000000000000000000000000000000000000000000000000 
   2205 14.667655      1.13.2   host         in      59     0000000000000000000000000000000000000000000000000000000000000000 
   2207 14.669339      1.13.2   host         in      31     000000d7              
   2667 17.517037      host     1.13.2       out     32     cc000a00d6            
   2669 17.519177      1.13.2   host         in      30     55a5fa                
   2823 20.028127      host     1.13.2       out     32     cc000a00d6            
   2825 20.030273      1.13.2   host         in      30     55a5fa                
   3095 22.559357      host     1.13.2       out     32     cc000a00d6            
   3097 22.561521      1.13.2   host         in      30     55a5fa                
   3363 25.074396      host     1.13.2       out     32     cc000a00d6            
   3365 25.076568      1.13.2   host         in      30     55a5fa                
   3889 27.600541      host     1.13.2       out     32     cc000a00d6            
   3891 27.602699      1.13.2   host         in      30     55a5fa                
   3975 28.117110      host     1.13.2       out     39     3301070007e8071b01301996 
   3977 28.119959      1.13.2   host         in      30     55a3f8                
   4145 29.622543      host     1.13.2       out     132    33010900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d 
   4147 29.633963      1.13.2   host         in      30     55ab00                
   4493 32.649838      host     1.13.2       out     42     33010b00473139394730333236336e 
   4495 32.659587      1.13.2   host         in      30     55a7fc                
   4601 34.674073      host     1.13.2       out     57     3301050000000a015e0064011300310031320320006400461313310102d5 
   4605 34.785693      1.13.2   host         in      30     a0a040                
   4753 35.686010      host     1.13.2       out     32     cc000a00d6            
   4755 35.688134      1.13.2   host         in      30     55a5fa                
   4831 36.213043      host     1.13.2       out     32     cc000600d2            
   4837 36.226993      1.13.2   host         in      59     5501013e1800000a015e006407e8071b01301900000000000000001364000007 
   4839 36.230223      1.13.2   host         in      59     e8071b0130210000000000000000000000000000000000000000000000000000 
   4841 36.233316      1.13.2   host         in      59     0000000000000000000000000000000000000000000000000000000000000000 
   4845 36.236421      1.13.2   host         in      59     0000000000000000000000000000000000000000000000000000000000000000 
   4847 36.239548      1.13.2   host         in      59     000000000000000000004731393947303332363300310031320320006400463f 
   5007 36.722728      host     1.13.2       out     32     cc000c00d8            
   5009 36.727593      1.13.2   host         in      59     5501013e181313310000000022b822b822b822b822b822b822b822b801020000 
   5013 36.730718      1.13.2   host         in      59     0000000000000000000000000000000000000000000000000000000000000000 
   5015 36.733841      1.13.2   host         in      59     0000000000000000000000000000000000000000000000000000000000000000 
   5017 36.735495      1.13.2   host         in      31     000000d7              
   5497 39.635947      host     1.13.2       out     32     cc000a00d6            
   5499 39.638080      1.13.2   host         in      30     55a5fa                
   5775 42.148995      host     1.13.2       out     32     cc000a00d6            
   5777 42.151228      1.13.2   host         in      30     55a5fa                
   6019 44.673478      host     1.13.2       out     32     cc000a00d6            
   6021 44.675700      1.13.2   host         in      30     55a5fa                
   6459 47.181580      host     1.13.2       out     32     cc000a00d6            
   6461 47.183847      1.13.2   host         in      30     55a5fa                
   6549 47.692919      host     1.13.2       out     39     3301070007e8071b01302ca9 
   6551 47.695666      1.13.2   host         in      30     55a3f8                
   6761 49.215656      host     1.13.2       out     132    33010900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d 
   6763 49.226850      1.13.2   host         in      30     55ab00                
   7015 52.245703      host     1.13.2       out     42     33010b00473139394730333236336e 
   7017 52.255419      1.13.2   host         in      30     55a7fc                
   7117 54.257910      host     1.13.2       out     57     3301050000000a015e0064011300310031ec03200064ffe213133101022a 
   7125 54.369631      1.13.2   host         in      30     a0a040                
   7241 55.283324      host     1.13.2       out     32     cc000a00d6            
   7283 55.797616      host     1.13.2       out     32     cc000a00d6            
   7285 55.799871      1.13.2   host         in      30     55a5fa                
   7461 56.315573      host     1.13.2       out     32     cc000600d2            
   7463 56.329534      1.13.2   host         in      59     5501013e1800000a015e006407e8071b01302c00000000000000001364000007 
   7465 56.332622      1.13.2   host         in      59     e8071b0130350000000000000000000000000000000000000000000000000000 
   7467 56.335772      1.13.2   host         in      59     0000000000000000000000000000000000000000000000000000000000000000 
   7469 56.338877      1.13.2   host         in      59     0000000000000000000000000000000000000000000000000000000000000000 
   7471 56.341975      1.13.2   host         in      59     000000000000000000004731393947303332363300310031ec03200064ffe2bb 
   7591 56.820356      host     1.13.2       out     32     cc000c00d8            
   7593 56.825292      1.13.2   host         in      59     5501013e181313310000000022b822b822b822b822b822b822b822b801020000 
   7597 56.828363      1.13.2   host         in      59     0000000000000000000000000000000000000000000000000000000000000000 
   7599 56.831481      1.13.2   host         in      59     0000000000000000000000000000000000000000000000000000000000000000 
   7601 56.833042      1.13.2   host         in      31     000000d7              
   7967 59.651019      host     1.13.2       out     32     cc000a00d6            
   7969 59.653234      1.13.2   host         in      30     55a5fa                
   8391 62.166900      host     1.13.2       out     32     cc000a00d6            
   8393 62.169107      1.13.2   host         in      30     55a5fa                
   8527 62.680268      host     1.13.2       out     39     3301070007e8071b01303bb8 
   8529 62.683151      1.13.2   host         in      30     55a3f8                
   8709 64.194907      host     1.13.2       out     132    33010900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d 
   8905 66.205364      host     1.13.2       out     132    33010900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d 
   9105 68.219047      host     1.13.2       out     132    33010900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003d 
   9107 68.230174      1.13.2   host         in      30     55ab00                
   9541 71.261284      host     1.13.2       out     42     33010b00473139394730333236336e 
   9543 71.271015      1.13.2   host         in      30     55a7fc                
   9703 73.283574      host     1.13.2       out     57     3301050000000a015e00640113003100310003200064000013133101025d 
   9713 73.395242      1.13.2   host         in      30     a0a040                
   9831 74.305571      host     1.13.2       out     32     cc000a00d6            
   9833 74.307755      1.13.2   host         in      30     55a5fa                
   9905 74.811947      host     1.13.2       out     32     cc000600d2            
   9911 74.825846      1.13.2   host         in      59     5501013e1800000a015e006407e8071b01303b00000000000000001364000007 
   9913 74.828967      1.13.2   host         in      59     e8071b01310b0000000000000000000000000000000000000000000000000000 
