No.     Time           Source                Destination           Info                                                            Length Leftover Capture Data Comment
    165 0.511940       host                  1.9.2                 URB_BULK out                                                    32     cc000a00d6            
    167 0.514102       1.9.2                 host                  URB_BULK in                                                     30     55a5fa                
    245 1.026631       host                  1.9.2                 URB_BULK out                                                    32     cc000600d2            
    247 1.040736       1.9.2                 host                  URB_BULK in                                                     59     5501013e1800000a0190001407e8071a1700100107e8071a140e27316403e207 
    249 1.043830       1.9.2                 host                  URB_BULK in                                                     59     e8071a1700135448495320495320544845205452495020444553435249505449 
    251 1.046941       1.9.2                 host                  URB_BULK in                                                     59     4f4e204649454c4420574845524520594f552043414e20534554204120465245 
    253 1.050090       1.9.2                 host                  URB_BULK in                                                     59     45464f524d204d45535341474520544841542049532054484953204d4158494d 
    255 1.053148       1.9.2                 host                  URB_BULK in                                                     59     554d204c454e475448004731393947303332363300310031000226fea200006d 
    367 1.544511       host                  1.9.2                 URB_BULK out                                                    32     cc000c00d8            
    369 1.549370       1.9.2                 host                  URB_BULK in                                                     59     5501013e18131531000003e200e600cf00d522b8016000c6010122b801020000 
    371 1.552560       1.9.2                 host                  URB_BULK in                                                     59     0000000000000000000000000000000000000000000000000000000000000000 
    373 1.555658       1.9.2                 host                  URB_BULK in                                                     59     0000000000000000000000000000000000000000000000000000000000000000 
    375 1.557345       1.9.2                 host                  URB_BULK in                                                     31     00000055              
    589 3.076331       host                  1.9.2                 URB_BULK out                                                    32     cc000a00d6            
    591 3.078435       1.9.2                 host                  URB_BULK in                                                     30     55a5fa                
    649 3.592602       host                  1.9.2                 URB_BULK out                                                    32     cc000600d2            
    651 3.606649       1.9.2                 host                  URB_BULK in                                                     59     5501013e1800000a0190001407e8071a1700130107e8071a140e27316403e207 
    653 3.609747       1.9.2                 host                  URB_BULK in                                                     59     e8071a1700155448495320495320544845205452495020444553435249505449 
    655 3.612794       1.9.2                 host                  URB_BULK in                                                     59     4f4e204649454c4420574845524520594f552043414e20534554204120465245 
    657 3.615889       1.9.2                 host                  URB_BULK in                                                     59     45464f524d204d45535341474520544841542049532054484953204d4158494d 
    659 3.619005       1.9.2                 host                  URB_BULK in                                                     59     554d204c454e475448004731393947303332363300310031000226fea2000072 
    755 4.117020       host                  1.9.2                 URB_BULK out                                                    32     cc000c00d8            
    757 4.121868       1.9.2                 host                  URB_BULK in                                                     59     5501013e18131531000003e200e600cf00d522b8016000c6010122b801020000 
    759 4.125058       1.9.2                 host                  URB_BULK in                                                     59     0000000000000000000000000000000000000000000000000000000000000000 
    762 4.128154       1.9.2                 host                  URB_BULK in                                                     59     0000000000000000000000000000000000000000000000000000000000000000 
    769 4.129753       1.9.2                 host                  URB_BULK in                                                     31     00000055              
    867 5.636529       host                  1.9.2                 URB_BULK out                                                    32     cc000a00d6            
    869 5.638775       1.9.2                 host                  URB_BULK in                                                     30     55a5fa                
    997 6.151529       host                  1.9.2                 URB_BULK out                                                    32     cc000600d2            
    999 6.165570       1.9.2                 host                  URB_BULK in                                                     59     5501013e1800000a0190001407e8071a1700150107e8071a140e27316403e207 
   1001 6.168672       1.9.2                 host                  URB_BULK in                                                     59     e8071a1700185448495320495320544845205452495020444553435249505449 
   1003 6.171751       1.9.2                 host                  URB_BULK in                                                     59     4f4e204649454c4420574845524520594f552043414e20534554204120465245 
   1005 6.174896       1.9.2                 host                  URB_BULK in                                                     59     45464f524d204d45535341474520544841542049532054484953204d4158494d 
   1007 6.177991       1.9.2                 host                  URB_BULK in                                                     59     554d204c454e475448004731393947303332363300310031000226fea2000077 
   1091 6.668070       host                  1.9.2                 URB_BULK out                                                    32     cc000c00d8            
   1101 6.837065       1.9.2                 host                  URB_BULK in                                                     59     5501013e18131531000003e300e600cf00d522b8016000c6010122b801020000 
   1103 6.840137       1.9.2                 host                  URB_BULK in                                                     59     0000000000000000000000000000000000000000000000000000000000000000 
   1105 6.843218       1.9.2                 host                  URB_BULK in                                                     59     0000000000000000000000000000000000000000000000000000000000000000 
   1107 6.844824       1.9.2                 host                  URB_BULK in                                                     31     00000056              
   1235 8.200236       host                  1.9.2                 URB_BULK out                                                    32     cc000a00d6            
   1237 8.202418       1.9.2                 host                  URB_BULK in                                                     30     55a5fa                
   1369 8.723524       host                  1.9.2                 URB_BULK out                                                    32     cc000600d2            
   1375 8.737499       1.9.2                 host                  URB_BULK in                                                     59     5501013e1800000a0190001407e8071a1700180107e8071a140e27316403e307 
   1377 8.740601       1.9.2                 host                  URB_BULK in                                                     59     e8071a17001b5448495320495320544845205452495020444553435249505449 
   1381 8.743748       1.9.2                 host                  URB_BULK in                                                     59     4f4e204649454c4420574845524520594f552043414e20534554204120465245 
   1383 8.746899       1.9.2                 host                  URB_BULK in                                                     59     45464f524d204d45535341474520544841542049532054484953204d4158494d 
   1385 8.750001       1.9.2                 host                  URB_BULK in                                                     59     554d204c454e475448004731393947303332363300310031000226fea200007e 
   1523 9.238228       host                  1.9.2                 URB_BULK out                                                    32     cc000c00d8            
   1527 9.243039       1.9.2                 host                  URB_BULK in                                                     59     5501013e18131531000003e300e600cf00d522b8016000c6010122b801020000 
   1529 9.246170       1.9.2                 host                  URB_BULK in                                                     59     0000000000000000000000000000000000000000000000000000000000000000 
   1533 9.249292       1.9.2                 host                  URB_BULK in                                                     59     0000000000000000000000000000000000000000000000000000000000000000 
   1535 9.250995       1.9.2                 host                  URB_BULK in                                                     31     00000056              
